id,name,code,parent_id
1,中国,00001,-1
2,北京市,0000100001,1
3,市辖区,000010000100001,2
4,东城区,00001000010000100001,3
5,西城区,00001000010000100002,3
6,朝阳区,00001000010000100003,3
7,丰台区,00001000010000100004,3
8,石景山区,00001000010000100005,3
9,海淀区,00001000010000100006,3
10,门头沟区,00001000010000100007,3
11,房山区,00001000010000100008,3
12,通州区,00001000010000100009,3
13,顺义区,00001000010000100010,3
14,昌平区,00001000010000100011,3
15,大兴区,00001000010000100012,3
16,怀柔区,00001000010000100013,3
17,平谷区,00001000010000100014,3
18,密云区,00001000010000100015,3
19,延庆区,00001000010000100016,3
20,天津市,0000100002,1
21,市辖区,000010000200001,20
22,和平区,00001000020000100001,21
23,河东区,00001000020000100002,21
24,河西区,00001000020000100003,21
25,南开区,00001000020000100004,21
26,河北区,00001000020000100005,21
27,红桥区,00001000020000100006,21
28,东丽区,00001000020000100007,21
29,西青区,00001000020000100008,21
30,津南区,00001000020000100009,21
31,北辰区,00001000020000100010,21
32,武清区,00001000020000100011,21
33,宝坻区,00001000020000100012,21
34,滨海新区,00001000020000100013,21
35,宁河区,00001000020000100014,21
36,静海区,00001000020000100015,21
37,蓟州区,00001000020000100016,21
38,河北省,0000100003,1
39,石家庄市,000010000300001,38
40,市辖区,00001000030000100001,39
41,长安区,00001000030000100002,39
42,桥西区,00001000030000100003,39
43,新华区,00001000030000100004,39
44,井陉矿区,00001000030000100005,39
45,裕华区,00001000030000100006,39
46,藁城区,00001000030000100007,39
47,鹿泉区,00001000030000100008,39
48,栾城区,00001000030000100009,39
49,井陉县,00001000030000100010,39
50,正定县,00001000030000100011,39
51,行唐县,00001000030000100012,39
52,灵寿县,00001000030000100013,39
53,高邑县,00001000030000100014,39
54,深泽县,00001000030000100015,39
55,赞皇县,00001000030000100016,39
56,无极县,00001000030000100017,39
57,平山县,00001000030000100018,39
58,元氏县,00001000030000100019,39
59,赵县,00001000030000100020,39
60,石家庄高新技术产业开发区,00001000030000100021,39
61,石家庄循环化工园区,00001000030000100022,39
62,辛集市,00001000030000100023,39
63,晋州市,00001000030000100024,39
64,新乐市,00001000030000100025,39
65,唐山市,000010000300002,38
66,市辖区,00001000030000200001,65
67,路南区,00001000030000200002,65
68,路北区,00001000030000200003,65
69,古冶区,00001000030000200004,65
70,开平区,00001000030000200005,65
71,丰南区,00001000030000200006,65
72,丰润区,00001000030000200007,65
73,曹妃甸区,00001000030000200008,65
74,滦县,00001000030000200009,65
75,滦南县,00001000030000200010,65
76,乐亭县,00001000030000200011,65
77,迁西县,00001000030000200012,65
78,玉田县,00001000030000200013,65
79,唐山市芦台经济技术开发区,00001000030000200014,65
80,唐山市汉沽管理区,00001000030000200015,65
81,唐山高新技术产业开发区,00001000030000200016,65
82,河北唐山海港经济开发区,00001000030000200017,65
83,遵化市,00001000030000200018,65
84,迁安市,00001000030000200019,65
85,秦皇岛市,000010000300003,38
86,市辖区,00001000030000300001,85
87,海港区,00001000030000300002,85
88,山海关区,00001000030000300003,85
89,北戴河区,00001000030000300004,85
90,抚宁区,00001000030000300005,85
91,青龙满族自治县,00001000030000300006,85
92,昌黎县,00001000030000300007,85
93,卢龙县,00001000030000300008,85
94,秦皇岛市经济技术开发区,00001000030000300009,85
95,北戴河新区,00001000030000300010,85
96,邯郸市,000010000300004,38
97,市辖区,00001000030000400001,96
98,邯山区,00001000030000400002,96
99,丛台区,00001000030000400003,96
100,复兴区,00001000030000400004,96
101,峰峰矿区,00001000030000400005,96
102,肥乡区,00001000030000400006,96
103,永年区,00001000030000400007,96
104,临漳县,00001000030000400008,96
105,成安县,00001000030000400009,96
106,大名县,00001000030000400010,96
107,涉县,00001000030000400011,96
108,磁县,00001000030000400012,96
109,邱县,00001000030000400013,96
110,鸡泽县,00001000030000400014,96
111,广平县,00001000030000400015,96
112,馆陶县,00001000030000400016,96
113,魏县,00001000030000400017,96
114,曲周县,00001000030000400018,96
115,邯郸经济技术开发区,00001000030000400019,96
116,邯郸冀南新区,00001000030000400020,96
117,武安市,00001000030000400021,96
118,邢台市,000010000300005,38
119,市辖区,00001000030000500001,118
120,桥东区,00001000030000500002,118
121,桥西区,00001000030000500003,118
122,邢台县,00001000030000500004,118
123,临城县,00001000030000500005,118
124,内丘县,00001000030000500006,118
125,柏乡县,00001000030000500007,118
126,隆尧县,00001000030000500008,118
127,任县,00001000030000500009,118
128,南和县,00001000030000500010,118
129,宁晋县,00001000030000500011,118
130,巨鹿县,00001000030000500012,118
131,新河县,00001000030000500013,118
132,广宗县,00001000030000500014,118
133,平乡县,00001000030000500015,118
134,威县,00001000030000500016,118
135,清河县,00001000030000500017,118
136,临西县,00001000030000500018,118
137,河北邢台经济开发区,00001000030000500019,118
138,南宫市,00001000030000500020,118
139,沙河市,00001000030000500021,118
140,保定市,000010000300006,38
141,市辖区,00001000030000600001,140
142,竞秀区,00001000030000600002,140
143,莲池区,00001000030000600003,140
144,满城区,00001000030000600004,140
145,清苑区,00001000030000600005,140
146,徐水区,00001000030000600006,140
147,涞水县,00001000030000600007,140
148,阜平县,00001000030000600008,140
149,定兴县,00001000030000600009,140
150,唐县,00001000030000600010,140
151,高阳县,00001000030000600011,140
152,容城县,00001000030000600012,140
153,涞源县,00001000030000600013,140
154,望都县,00001000030000600014,140
155,安新县,00001000030000600015,140
156,易县,00001000030000600016,140
157,曲阳县,00001000030000600017,140
158,蠡县,00001000030000600018,140
159,顺平县,00001000030000600019,140
160,博野县,00001000030000600020,140
161,雄县,00001000030000600021,140
162,保定高新技术产业开发区,00001000030000600022,140
163,保定白沟新城,00001000030000600023,140
164,涿州市,00001000030000600024,140
165,定州市,00001000030000600025,140
166,安国市,00001000030000600026,140
167,高碑店市,00001000030000600027,140
168,张家口市,000010000300007,38
169,市辖区,00001000030000700001,168
170,桥东区,00001000030000700002,168
171,桥西区,00001000030000700003,168
172,宣化区,00001000030000700004,168
173,下花园区,00001000030000700005,168
174,万全区,00001000030000700006,168
175,崇礼区,00001000030000700007,168
176,张北县,00001000030000700008,168
177,康保县,00001000030000700009,168
178,沽源县,00001000030000700010,168
179,尚义县,00001000030000700011,168
180,蔚县,00001000030000700012,168
181,阳原县,00001000030000700013,168
182,怀安县,00001000030000700014,168
183,怀来县,00001000030000700015,168
184,涿鹿县,00001000030000700016,168
185,赤城县,00001000030000700017,168
186,张家口市高新技术产业开发区,00001000030000700018,168
187,张家口市察北管理区,00001000030000700019,168
188,张家口市塞北管理区,00001000030000700020,168
189,承德市,000010000300008,38
190,市辖区,00001000030000800001,189
191,双桥区,00001000030000800002,189
192,双滦区,00001000030000800003,189
193,鹰手营子矿区,00001000030000800004,189
194,承德县,00001000030000800005,189
195,兴隆县,00001000030000800006,189
196,滦平县,00001000030000800007,189
197,隆化县,00001000030000800008,189
198,丰宁满族自治县,00001000030000800009,189
